,Company,Ticker
0,Activision Blizzard,ATVI
1,Adobe Inc.,ADBE
2,Advanced Micro Devices,AMD
3,Alexion Pharmaceuticals,ALXN
4,Align Technology,ALGN
5,Alphabet Inc. (Class A),GOOGL
7,Amazon.com,AMZN
8,Amgen,AMGN
9,Analog Devices,ADI
10,ANSYS,ANSS
11,Apple Inc.,AAPL
12,"Applied Materials, Inc.",AMAT
13,ASML Holding,ASML
14,Autodesk,ADSK
15,"Automatic Data Processing, Inc.",ADP
16,Baidu,BIDU
17,Biogen,BIIB
18,BioMarin Pharmaceutical Inc.,BMRN
19,Booking Holdings,BKNG
20,Broadcom Inc.,AVGO
21,Cadence Design Systems,CDNS
22,CDW,CDW
23,Cerner Corporation,CERN
24,"Charter Communications, Inc.",CHTR
25,Check Point Software Technologies Ltd.,CHKP
26,Cintas Corporation,CTAS
27,Cisco Systems,CSCO
28,Citrix Systems,CTXS
29,Cognizant Technology Solutions Corporation,CTSH
30,Comcast Corporation,CMCSA
31,Copart,CPRT
32,Costco Wholesale Corporation,COST
33,CSX Corporation,CSX
34,DexCom,DXCM
35,DocuSign,DOCU
36,"Dollar Tree, Inc.",DLTR
37,eBay Inc.,EBAY
38,Electronic Arts,EA
39,Exelon Corporation,EXC
40,Expedia Group,EXPE
41,"Facebook, Inc.",FB
42,Fastenal Company,FAST
43,"Fiserv, Inc.",FISV
44,Fox Corporation (Class A),FOXA
46,"Gilead Sciences, Inc.",GILD
47,IDEXX Laboratories,IDXX
48,"Illumina, Inc.",ILMN
49,Incyte Corporation,INCY
50,Intel Corporation,INTC
51,Intuit,INTU
52,Intuitive Surgical,ISRG
53,JD.com,JD
54,Keurig Dr Pepper Inc.,KDP
55,KLA Corporation,KLAC
56,Kraft Heinz Co,KHC
57,Lam Research,LRCX
58,Liberty Global (Class A),LBTYA
60,Lululemon Athletica,LULU
61,Marriott International,MAR
62,Maxim Integrated Products,MXIM
63,MercadoLibre,MELI
64,Microchip Technology,MCHP
65,"Micron Technology, Inc.",MU
66,Microsoft Corporation,MSFT
67,Moderna,MRNA
68,MondelÄ“z International,MDLZ
69,Monster Beverage Corporation,MNST
70,"NetEase, Inc.",NTES
71,Netflix,NFLX
72,Nvidia Corporation,NVDA
73,NXP Semiconductors N.V.,NXPI
74,"O'Reilly Automotive, Inc.",ORLY
75,PACCAR Inc.,PCAR
76,"Paychex, Inc.",PAYX
77,PayPal,PYPL
78,"PepsiCo, Inc.",PEP
79,Pinduoduo Inc.,PDD
80,QUALCOMM,QCOM
81,Regeneron Pharmaceuticals,REGN
82,Ross Stores Inc.,ROST
83,Seagen Inc.,SGEN
84,"Sirius XM Radio, Inc.",SIRI
85,"Skyworks Solutions, Inc.",SWKS
86,Splunk,SPLK
87,Starbucks Corporation,SBUX
88,"Synopsys, Inc.",SNPS
89,T-Mobile US,TMUS
90,"Take-Two Interactive, Inc.",TTWO
91,"Tesla, Inc.",TSLA
92,Texas Instruments,TXN
93,Trip.com Group,TCOM
94,Ulta Beauty,ULTA
95,Verisign,VRSN
96,Verisk Analytics,VRSK
97,Vertex Pharmaceuticals,VRTX
98,"Walgreen Boots Alliance, Inc.",WBA
99,"Workday, Inc.",WDAY
100,"Xcel Energy, Inc.",XEL
101,"Xilinx, Inc.",XLNX
102,Zoom Video Communications,ZM
