,AO,KAMA,PPO,RSI,SO,ADI,CMF,EoM,FI,OBV,UI,ATR,BB,DC,KC,ADX,CCI,DPO,MACD,MI,ForwardReturns
AO,1.0,0.1412241781596021,0.6135178371601114,0.3562500870737365,0.304563628240484,0.030736295379030734,0.20939011228932855,-0.0662439328580604,0.374249130645254,0.05133752972433851,-0.4873442429374476,-0.07522808349628692,0.26910924907158007,0.17073694871472184,0.34626890675534633,0.038449760507302456,0.2675144788912373,0.1923538231025289,-0.3630015881659873,-0.05118603698038682,-0.017205719860666855
KAMA,0.1412241781596021,1.0,0.009864684849845682,0.02311198861712464,-0.030874483952834344,0.6257894714124314,0.029557556860688936,0.04190320166291135,0.021853371901357267,0.7048503350119473,-0.05189984510707541,0.8110238312308088,0.006790606869652957,-0.008330099392158253,0.07219192595441247,-0.01502807433528521,0.060342945542401376,-0.017740292161861116,0.04886259336470819,0.04959176295636105,-0.017392776044151424
PPO,0.6135178371601114,0.009864684849845682,1.0,0.6102090958234467,0.3180873162508459,-0.01243036683794535,0.3185355641775435,-0.03149036003559177,0.30292037955343304,0.038357681720210826,-0.7305180504270637,-0.1485142539023247,0.33937787406666126,0.16845347469170924,0.46999167963652005,0.17998877649281259,0.3239314477537404,0.07862629233013474,-0.09769911871622024,0.039989719001641014,-0.018244873736620534
RSI,0.3562500870737365,0.02311198861712464,0.6102090958234467,1.0,0.65306188018526,0.04013729592535564,0.5770127626939443,0.04106096135868038,0.15032704919063225,0.08966537740047963,-0.5975554930102324,-0.07503117327022772,0.8680503323063457,0.741171219712233,0.8229695257943368,0.20479214574056082,0.7822947747707802,-0.1201082827449881,-0.35680498388503584,-0.020300419541808716,-0.029398557873449166
SO,0.304563628240484,-0.030874483952834344,0.3180873162508459,0.65306188018526,1.0,-0.029084089767377825,0.4293111452059239,0.05016474535272461,0.13028324689996934,0.008321633017856345,-0.312637817710656,-0.08013071754428017,0.7000329097464187,0.6041229042126451,0.5924750121405251,0.13225713959469285,0.6481227669216072,-0.09651002753963292,-0.45939546010409255,-0.04582759439409574,-0.023065713275946902
ADI,0.030736295379030734,0.6257894714124314,-0.01243036683794535,0.04013729592535564,-0.029084089767377825,1.0,0.05638493025181888,-0.054505424671850704,-0.03323174388714256,0.647007577910293,-0.058248293256386884,0.49336572135034307,0.026541923693163928,0.02433670116298633,0.07090670367646154,0.014035032325745928,0.03515405311286541,-0.07621615694970942,0.07095489285259657,0.009958840190297438,-0.01893972822184173
CMF,0.20939011228932855,0.029557556860688936,0.3185355641775435,0.5770127626939443,0.4293111452059239,0.05638493025181888,1.0,-0.016323587939015043,0.08653355837245784,0.060890595394505205,-0.37341101275250105,-6.141428358111995e-05,0.5367943425719804,0.4815645993786568,0.5193129902211704,0.09855622715914585,0.47518599422058744,-0.10132776770202288,-0.25746793134866447,-0.05129109047182481,-0.022214753711583133
EoM,-0.0662439328580604,0.04190320166291135,-0.03149036003559177,0.04106096135868038,0.05016474535272461,-0.054505424671850704,-0.016323587939015043,1.0,0.2322046544336582,0.022145629905454663,0.04827151643785852,0.07219086860244642,0.038480010166067,0.026449584992272835,0.03728689038921938,0.05081291425268523,0.1250801370145068,-0.12313710040829817,-0.112491518967751,-0.06384197208470434,0.0028851135464002574
FI,0.374249130645254,0.021853371901357267,0.30292037955343304,0.15032704919063225,0.13028324689996934,-0.03323174388714256,0.08653355837245784,0.2322046544336582,1.0,-0.029201969286920842,-0.16654868697015413,-0.025689185309845347,0.1420295330322099,0.09872702208831746,0.2989795050385359,0.022097846651528166,0.19930570113155363,0.07888978942876505,-0.2351078887496063,-0.010105135073312357,-0.006963085152817704
OBV,0.05133752972433851,0.7048503350119473,0.038357681720210826,0.08966537740047963,0.008321633017856345,0.647007577910293,0.060890595394505205,0.022145629905454663,-0.029201969286920842,1.0,-0.07705623168515822,0.586648424848068,0.06210649175374227,0.051942627424395274,0.04060127571171925,0.036163020748371306,0.07839432895256442,-0.10863477743819448,0.07858480761220477,0.07968075820384826,-0.016870913300059288
UI,-0.4873442429374476,-0.05189984510707541,-0.7305180504270637,-0.5975554930102324,-0.312637817710656,-0.058248293256386884,-0.37341101275250105,0.04827151643785852,-0.16654868697015413,-0.07705623168515822,1.0,0.18326007378784726,-0.4253296213759991,-0.22884090024540069,-0.4605467271287975,0.022394427943947245,-0.39105474124996475,-0.020277049805702312,0.20181043546733282,0.189469386682908,0.02157354245777885
ATR,-0.07522808349628692,0.8110238312308088,-0.1485142539023247,-0.07503117327022772,-0.08013071754428017,0.49336572135034307,-6.141428358111995e-05,0.07219086860244642,-0.025689185309845347,0.586648424848068,0.18326007378784726,1.0,-0.056635301635230464,-0.03233663364087013,-0.0036402971441082134,-0.00028350978983844756,-0.024950822367808465,-0.08700060344582068,0.060799754121829384,0.168737283506532,-0.004362560104155052
BB,0.26910924907158007,0.006790606869652957,0.33937787406666126,0.8680503323063457,0.7000329097464187,0.026541923693163928,0.5367943425719804,0.038480010166067,0.1420295330322099,0.06210649175374227,-0.4253296213759991,-0.056635301635230464,1.0,0.8495727914817975,0.7892524908388826,0.07404071493582225,0.9250300460568939,-0.13263728809245806,-0.41909241912855477,-0.0645207956740498,-0.026560977730170184
DC,0.17073694871472184,-0.008330099392158253,0.16845347469170924,0.741171219712233,0.6041229042126451,0.02433670116298633,0.4815645993786568,0.026449584992272835,0.09872702208831746,0.051942627424395274,-0.22884090024540069,-0.03233663364087013,0.8495727914817975,1.0,0.6591054969851148,0.05135894524087219,0.7319106966111582,-0.12176054894785841,-0.3832290582811911,-0.02199919568563299,-0.029697860288510954
KC,0.34626890675534633,0.07219192595441247,0.46999167963652005,0.8229695257943368,0.5924750121405251,0.07090670367646154,0.5193129902211704,0.03728689038921938,0.2989795050385359,0.04060127571171925,-0.4605467271287975,-0.0036402971441082134,0.7892524908388826,0.6591054969851148,1.0,0.09509839055061142,0.7847073655069745,-0.10039741865025921,-0.38741348060662706,-0.02051375925233524,-0.025353214795315455
ADX,0.038449760507302456,-0.01502807433528521,0.17998877649281259,0.20479214574056082,0.13225713959469285,0.014035032325745928,0.09855622715914585,0.05081291425268523,0.022097846651528166,0.036163020748371306,0.022394427943947245,-0.00028350978983844756,0.07404071493582225,0.05135894524087219,0.09509839055061142,1.0,0.06198087639979977,0.008718548320374376,0.0040332727330524435,0.20461466244769663,-0.0009571602912670756
CCI,0.2675144788912373,0.060342945542401376,0.3239314477537404,0.7822947747707802,0.6481227669216072,0.03515405311286541,0.47518599422058744,0.1250801370145068,0.19930570113155363,0.07839432895256442,-0.39105474124996475,-0.024950822367808465,0.9250300460568939,0.7319106966111582,0.7847073655069745,0.06198087639979977,1.0,-0.12087675042814587,-0.38351146081072673,-0.06639039987683451,-0.024069624449949166
DPO,0.1923538231025289,-0.017740292161861116,0.07862629233013474,-0.1201082827449881,-0.09651002753963292,-0.07621615694970942,-0.10132776770202288,-0.12313710040829817,0.07888978942876505,-0.10863477743819448,-0.020277049805702312,-0.08700060344582068,-0.13263728809245806,-0.12176054894785841,-0.10039741865025921,0.008718548320374376,-0.12087675042814587,1.0,0.19326310140152667,-0.005769446036412711,-0.0004184782281820365
MACD,-0.3630015881659873,0.04886259336470819,-0.09769911871622024,-0.35680498388503584,-0.45939546010409255,0.07095489285259657,-0.25746793134866447,-0.112491518967751,-0.2351078887496063,0.07858480761220477,0.20181043546733282,0.060799754121829384,-0.41909241912855477,-0.3832290582811911,-0.38741348060662706,0.0040332727330524435,-0.38351146081072673,0.19326310140152667,1.0,0.08655963179671634,0.018434607163720456
MI,-0.05118603698038682,0.04959176295636105,0.039989719001641014,-0.020300419541808716,-0.04582759439409574,0.009958840190297438,-0.05129109047182481,-0.06384197208470434,-0.010105135073312357,0.07968075820384826,0.189469386682908,0.168737283506532,-0.0645207956740498,-0.02199919568563299,-0.02051375925233524,0.20461466244769663,-0.06639039987683451,-0.005769446036412711,0.08655963179671634,1.0,0.0062096157994044
ForwardReturns,-0.017205719860666855,-0.017392776044151424,-0.018244873736620534,-0.029398557873449166,-0.023065713275946902,-0.01893972822184173,-0.022214753711583133,0.0028851135464002574,-0.006963085152817704,-0.016870913300059288,0.02157354245777885,-0.004362560104155052,-0.026560977730170184,-0.029697860288510954,-0.025353214795315455,-0.0009571602912670756,-0.024069624449949166,-0.0004184782281820365,0.018434607163720456,0.0062096157994044,1.0
